LaptopId,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
0,981,Toshiba,portege z30-c-1cv,Notebook,13.3,Full HD 1920x1080,intel core i5 6200u 2.3ghz,4GB,128GB SSD,intel hd graphics 520,Windows 7,1.2kg,1195.0
1,996,HP,spectre 13-v111dx,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,intel core i7 7500u 2.7ghz,8GB,256GB SSD,intel hd graphics 620,Windows 10,1.11kg,1349.0
2,77,Dell,inspiron 5570,Notebook,15.6,Full HD 1920x1080,intel core i7 8550u 1.8ghz,8GB,128GB SSD +  1TB HDD,intel uhd graphics 620,Windows 10,2.02kg,855.0
3,103,HP,envy 13-ad009n,Ultrabook,13.3,IPS Panel Full HD 1920x1080,intel core i7 7500u 2.7ghz,8GB,256GB SSD,nvidia geforce 150mx,Windows 10,1.38kg,1119.0
4,946,Dell,latitude 7280,Ultrabook,12.5,Full HD / Touchscreen 1920x1080,intel core i5 7200u 2.5ghz,8GB,256GB SSD,intel hd graphics,Windows 10,1.36kg,1472.2
5,1258,Lenovo,b51-80 (i7-6500u/8gb/1008gb/radeon,Notebook,15.6,Full HD 1920x1080,intel core i7 6500u 2.5ghz,8GB,1.0TB Hybrid,amd radeon r5 m330,Windows 7,2.32kg,895.0
6,550,Lenovo,ideapad 320-15isk,Notebook,15.6,Full HD 1920x1080,intel core i3 6006u 2.0ghz,4GB,128GB SSD,intel hd graphics 520,Windows 10,2.2kg,499.0
7,322,Asus,zenbook ux410ua-gv183t,Notebook,14.0,Full HD 1920x1080,intel core i7 7500u 2.7ghz,8GB,256GB SSD,intel hd graphics 620,Windows 10,2kg,1094.0
8,1099,Asus,g752vy-gc162t (i7-6700hq/16gb/1tb,Gaming,17.3,IPS Panel Full HD 1920x1080,intel core i7 6700hq 2.6ghz,16GB,128GB SSD +  1TB HDD,nvidia geforce 980m,Windows 10,4.3kg,2299.0
9,622,Dell,inspiron 5570,Notebook,15.6,Full HD 1920x1080,intel core i5 8250u 1.6ghz,4GB,1TB HDD,amd radeon 530,Windows 10,2.2kg,776.0
10,670,Microsoft,surface laptop,Ultrabook,13.5,Touchscreen 2256x1504,intel core i7 7600u 2.8ghz,8GB,256GB SSD,intel iris plus graphics 640,Windows 10 S,1.252kg,1867.85
11,405,Asus,zenbook 3,Ultrabook,14.0,Full HD 1920x1080,intel core i7 7500u 2.7ghz,8GB,512GB SSD,intel hd graphics 620,Windows 10,1.10kg,1873.0
12,1120,Vero,v131 (x5-z8350/4gb/32gb/fhd/w10),Notebook,13.3,Full HD 1920x1080,intel atom x5-z8350 1.44ghz,4GB,32GB Flash Storage,intel hd graphics 400,Windows 10,1.35kg,196.0
13,605,MSI,gs63vr 7rf,Gaming,15.6,4K Ultra HD 3840x2160,intel core i7 7700hq 2.8ghz,16GB,256GB SSD +  2TB HDD,nvidia geforce 1060,Windows 10,1.8kg,2299.0
14,683,HP,17-bs000nv i3,Notebook,17.3,IPS Panel Full HD 1920x1080,intel core i3 6006u 2.0ghz,4GB,256GB SSD,amd radeon r5 520,Windows 10,2.5kg,699.0
15,1179,HP,probook 450,Notebook,15.6,1366x768,intel core i3 6100u 2.3ghz,4GB,500GB HDD,intel hd graphics 520,Windows 10,2.07kg,650.0
16,916,HP,probook 430,Notebook,13.3,Full HD 1920x1080,intel core i5 7200u 2.5ghz,8GB,256GB SSD,intel hd graphics 620,Windows 10,1.49kg,960.0
17,1198,Acer,aspire 3,Notebook,15.6,1366x768,intel celeron dual core n3350 1.1ghz,4GB,1TB HDD,intel hd graphics 500,Linux,2.1kg,272.0
18,798,Lenovo,yoga 910-13ikb,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,intel core i7 7500u 2.7ghz,8GB,256GB SSD,intel hd graphics 620,Windows 10,1.38kg,1349.0
19,722,Lenovo,thinkpad t470s,Ultrabook,14.0,IPS Panel Full HD 1920x1080,intel core i5 7200u 2.5ghz,8GB,256GB SSD,intel hd graphics 620,Windows 10,1.32kg,1499.0
20,1033,HP,probook 640,Notebook,14.0,Full HD 1920x1080,intel core i5 6200u 2.3ghz,8GB,256GB SSD,intel hd graphics 520,Windows 7,1.95kg,1195.0
21,864,Dell,xps 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,intel core i7 7660u 2.5ghz,16GB,512GB SSD,intel iris plus graphics 640,Windows 10,1.29kg,2240.0
22,444,HP,omen 15-ax205na,Gaming,15.6,IPS Panel Full HD 1920x1080,intel core i7 7700hq 2.8ghz,8GB,128GB SSD +  1TB HDD,nvidia geforce 1050,Windows 10,2.2kg,1099.0
