LaptopId,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
0,981,toshiba,portege z30-c-1cv,notebook,13.3,full hd 1920x1080,intel core i5 6200u 2.3ghz,4gb,128gb ssd,intel hd graphics 520,windows 7,1.2kg,1195.0
1,996,hp,spectre 13-v111dx,ultrabook,13.3,ips panel full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,1.11kg,1349.0
2,77,dell,inspiron 5570,notebook,15.6,full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,128gb ssd +  1tb hdd,intel uhd graphics 620,windows 10,2.02kg,855.0
3,103,hp,envy 13-ad009n,ultrabook,13.3,ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,nvidia geforce 150mx,windows 10,1.38kg,1119.0
4,946,dell,latitude 7280,ultrabook,12.5,full hd / touchscreen 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics,windows 10,1.36kg,1472.2
5,1258,lenovo,b51-80 ,notebook,15.6,full hd 1920x1080,intel core i7 6500u 2.5ghz,8gb,1.0tb hybrid,amd radeon r5 m330,windows 7,2.32kg,895.0
6,550,lenovo,ideapad 320-15isk,notebook,15.6,full hd 1920x1080,intel core i3 6006u 2.0ghz,4gb,128gb ssd,intel hd graphics 520,windows 10,2.2kg,499.0
7,322,asus,zenbook ux410ua-gv183t,notebook,14.0,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,2kg,1094.0
8,1099,asus,g752vy-gc162t ,gaming,17.3,ips panel full hd 1920x1080,intel core i7 6700hq 2.6ghz,16gb,128gb ssd +  1tb hdd,nvidia geforce 980m,windows 10,4.3kg,2299.0
9,622,dell,inspiron 5570,notebook,15.6,full hd 1920x1080,intel core i5 8250u 1.6ghz,4gb,1tb hdd,amd radeon 530,windows 10,2.2kg,776.0
10,670,microsoft,surface laptop,ultrabook,13.5,touchscreen 2256x1504,intel core i7 7600u 2.8ghz,8gb,256gb ssd,intel iris plus graphics 640,windows 10 s,1.252kg,1867.85
11,405,asus,zenbook 3,ultrabook,14.0,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,512gb ssd,intel hd graphics 620,windows 10,1.10kg,1873.0
12,1120,vero,v131 ,notebook,13.3,full hd 1920x1080,intel atom x5-z8350 1.44ghz,4gb,32gb flash storage,intel hd graphics 400,windows 10,1.35kg,196.0
13,605,msi,gs63vr 7rf,gaming,15.6,4k ultra hd 3840x2160,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  2tb hdd,nvidia geforce 1060,windows 10,1.8kg,2299.0
14,683,hp,17-bs000nv i3,notebook,17.3,ips panel full hd 1920x1080,intel core i3 6006u 2.0ghz,4gb,256gb ssd,amd radeon r5 520,windows 10,2.5kg,699.0
15,1179,hp,probook 450,notebook,15.6,1366x768,intel core i3 6100u 2.3ghz,4gb,500gb hdd,intel hd graphics 520,windows 10,2.07kg,650.0
16,916,hp,probook 430,notebook,13.3,full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,1.49kg,960.0
17,1198,acer,aspire 3,notebook,15.6,1366x768,intel celeron dual core n3350 1.1ghz,4gb,1tb hdd,intel hd graphics 500,linux,2.1kg,272.0
18,798,lenovo,yoga 910-13ikb,2 in 1 convertible,13.9,ips panel full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,1.38kg,1349.0
19,722,lenovo,thinkpad t470s,ultrabook,14.0,ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,1.32kg,1499.0
20,1033,hp,probook 640,notebook,14.0,full hd 1920x1080,intel core i5 6200u 2.3ghz,8gb,256gb ssd,intel hd graphics 520,windows 7,1.95kg,1195.0
21,864,dell,xps 13,ultrabook,13.3,quad hd+ / touchscreen 3200x1800,intel core i7 7660u 2.5ghz,16gb,512gb ssd,intel iris plus graphics 640,windows 10,1.29kg,2240.0
22,444,hp,omen 15-ax205na,gaming,15.6,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce 1050,windows 10,2.2kg,1099.0
23,254,acer,aspire 5,notebook,17.3,ips panel full hd 1920x1080,intel core i3 7130u 2.7ghz,4gb,256gb ssd,nvidia geforce 130mx,windows 10,3kg,702.0
24,1065,dell,xps 13,ultrabook,13.3,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,1.29kg,1458.0
